county,fips,crime,GDP,poverty
"Autauga County, AL",1001,3589.478613295442,39.60281603720269,11.7
"Baldwin County, AL",1003,1993.7140111383312,47.54455726315292,10
"Barbour County, AL",1005,3291.6632843574967,37.612022079714265,25.5
"Bibb County, AL",1007,2531.990198747618,27.698929122424904,19.4
"Blount County, AL",1009,2707.014653602705,21.869539582068846,12.8
"Bullock County, AL",1011,2073.0988406366673,33.07113381803891,33.6
"Butler County, AL",1013,3494.4639481501486,45.61690521199028,23.6
"Calhoun County, AL",1015,3953.3054601150807,48.77310096452374,20.1
"Chambers County, AL",1017,3965.7716140454413,32.717999409855416,17.1
"Cherokee County, AL",1019,4162.257495590829,29.217440721144424,15.6
"Chilton County, AL",1021,3511.308701657458,33.5497669198895,15.3
"Choctaw County, AL",1023,2010.7134539243846,63.56750252309603,24.8
"Clarke County, AL",1025,4127.680530062228,50.79813761919685,19
"Clay County, AL",1027,2228.6276715410577,35.71224690663667,16.9
"Cleburne County, AL",1029,3465.378421900161,26.49378421900161,15.8
"Coffee County, AL",1031,4318.978245014853,37.875802693135526,16.5
"Colbert County, AL",1033,2521.482139501512,59.38930932572561,15.4
"Conecuh County, AL",1035,1303.049497783006,44.94941634241245,26.5
"Coosa County, AL",1037,2316.1437196872216,23.296347619518954,18.2
"Covington County, AL",1039,3145.5374178503284,41.72713059147763,16.7
"Crenshaw County, AL",1041,2355.572120760343,40.44465150950429,19.5
"Cullman County, AL",1043,2808.122147017157,41.63419906605803,15.5
"Dale County, AL",1045,2468.39378238342,76.68132642487046,16.6
"Dallas County, AL",1047,3931.9784321858147,47.70510161758607,31.4
"DeKalb County, AL",1049,1517.6226675881132,38.403953006219766,21.6
"Elmore County, AL",1051,2300.1445868238357,29.834861980287627,12.5
"Escambia County, AL",1053,3979.0974906102006,44.28300038103533,21.3
"Etowah County, AL",1055,3634.4086021505377,36.92049853372434,19.6
"Fayette County, AL",1057,1649.7130933750652,29.53886280646844,16.2
"Franklin County, AL",1059,2792.2996494249337,38.03078295098099,22.5
"Geneva County, AL",1061,0,28.17081903074595,19.2
"Greene County, AL",1063,867.5385213000129,36.35983426129742,31
"Hale County, AL",1065,0,22.82017543859649,23
"Henry County, AL",1067,2837.2352285395764,35.28979933110368,16.4
"Houston County, AL",1069,5854.140600917514,69.83833795717058,16.5
"Jackson County, AL",1071,549.2863014722367,38.43313280023914,16
"Jefferson County, AL",1073,4685.985460420032,89.41665705054236,16
