county,fips,crime,GDP,ur,poverty
"Autauga County, AL",1001,0.035894786132954416,2452642,2.1,11.7
"Baldwin County, AL",1003,0.01993714011138331,12071468,2.2,10
"Barbour County, AL",1005,0.03291663284357497,926685,4,25.5
"Bibb County, AL",1007,0.025319901987476176,610429,2.4,19.4
"Blount County, AL",1009,0.027070146536027052,1261107,2,12.8
"Bullock County, AL",1011,0.020730988406366672,336598,2.6,33.6
"Butler County, AL",1013,0.034944639481501484,844597,3,23.6
"Calhoun County, AL",1015,0.03953305460115081,5891059,2.6,20.1
"Chambers County, AL",1017,0.039657716140454415,1108813,2.2,17.1
"Cherokee County, AL",1019,0.04162257495590829,745483,2.6,15.6
"Chilton County, AL",1021,0.03511308701657458,1554562,2.2,15.3
"Choctaw County, AL",1023,0.020107134539243846,818813,3.8,24.8
"Clarke County, AL",1025,0.041276805300622284,1134678,4.3,19
"Clay County, AL",1027,0.022286276715410575,507971,2.4,16.9
"Cleburne County, AL",1029,0.03465378421900161,411316,2.2,15.8
"Coffee County, AL",1031,0.04318978245014853,2129264,2.3,16.5
"Colbert County, AL",1033,0.02521482139501512,3476472,2.7,15.4
"Conecuh County, AL",1035,0.01303049497783006,496736,3.5,26.5
"Coosa County, AL",1037,0.023161437196872216,235363,2.4,18.2
"Covington County, AL",1039,0.03145537417850328,1574615,2.7,16.7
"Crenshaw County, AL",1041,0.02355572120760343,542565,2.8,19.5
"Cullman County, AL",1043,0.028081221470171572,3967531,2.1,15.5
"Dale County, AL",1045,0.0246839378238342,3699874,2.8,16.6
"Dallas County, AL",1047,0.03931978432185815,1725255,4.9,31.4
"DeKalb County, AL",1049,0.015176226675881133,2778526,2.2,21.6
"Elmore County, AL",1051,0.02300144586823836,2703128,2,12.5
"Escambia County, AL",1053,0.039790974906102006,1627046,3.4,21.3
"Etowah County, AL",1055,0.03634408602150538,3776967,2.5,19.6
"Fayette County, AL",1057,0.016497130933750652,453008,2.7,16.2
"Franklin County, AL",1059,0.027922996494249338,1236685,2.6,22.5
"Geneva County, AL",1061,0,763232,2.3,19.2
"Greene County, AL",1063,0.008675385213000129,280807,5.4,31
"Hale County, AL",1065,0,364210,3.4,23
"Henry County, AL",1067,0.028372352285395763,633099,2.3,16.4
"Houston County, AL",1069,0.058541406009175144,7703029,2.5,16.5
"Jackson County, AL",1071,0.005492863014722367,2057095,2.7,16
"Jefferson County, AL",1073,0.04685985460420032,61990780,2.5,16
"Lamar County, AL",1075,0.01381963242627155,448833,2.9,16.4
"Lauderdale County, AL",1077,0.02851954820111411,3736194,2.6,13.6
"Lawrence County, AL",1079,0.01277323018800036,817562,2.1,14.2
"Lee County, AL",1081,0.03320509426416497,8799349,2.2,17.9
"Limestone County, AL",1083,0.01358489014941324,6494484,1.9,8.6
"Lowndes County, AL",1085,0.010062893081761006,519259,4.1,29.4
"Macon County, AL",1087,0.023966942148760332,682080,3.4,28.8
"Madison County, AL",1089,0.01789128143913607,36321455,2,10.5
"Marengo County, AL",1091,0.036881720430107526,1058127,3.3,23.5
"Marion County, AL",1093,0.017942623773976502,1303389,2.9,19
"Marshall County, AL",1095,0.026610396253885806,4896602,2.1,16.5
"Mobile County, AL",1097,0.04233744563419776,28332816,3.1,16.3
"Monroe County, AL",1099,0.026252371430036406,809448,4.1,19.1
"Montgomery County, AL",1101,0.003820274457724657,18390810,2.9,18.3
"Morgan County, AL",1103,0.028105254738862672,8023596,2.1,12
"Perry County, AL",1105,0.010063694267515924,262033,5.6,33.8
"Pickens County, AL",1107,0.013258897418004187,538386,3.1,21.5
"Pike County, AL",1109,0.05696355298093169,1982236,2.8,23.8
"Randolph County, AL",1111,0.02714832577990936,643574,2.7,15.9
"Russell County, AL",1113,0.04579382074028755,2171720,2.7,18.9
"St. Clair County, AL",1115,0.020778935820076797,2701537,2,10.8
"Shelby County, AL",1117,0.011722570555132936,16447755,1.8,8.4
"Sumter County, AL",1119,0.013364517206815904,431366,3.5,33.5
"Talladega County, AL",1121,0.044307361858735086,3825674,2.8,17
"Tallapoosa County, AL",1123,0.04539243965386367,1752891,2.6,15.1
"Tuscaloosa County, AL",1125,0.0392449954570767,13584024,2.4,19.2
"Walker County, AL",1127,0.02413360658244884,2315300,2.4,17.5
"Washington County, AL",1129,0.0201262039189638,1220758,2.7,18.7
"Wilcox County, AL",1131,0.01191919191919192,448587,5.6,32.7
"Winston County, AL",1133,0.025790592058664224,1084214,2.6,16.6
"Aleutians East Borough, AK",2013,0,365752,2.2,18
"Aleutians West Census Area, AK",2016,0.008384819064430714,1000609,2.9,10
"Anchorage Borough/municipality, AK",2020,0.05610014524990702,30019193,3.5,8.9
"Bethel Census Area, AK",2050,0.04578197534816712,824739,9.7,29.3
"Bristol Bay Borough, AK",2060,0.02378255945639864,181696,3.4,11.7
"Dillingham Census Area, AK",2070,0,315880,6.3,23.4
"Fairbanks North Star Borough, AK",2090,0.0586046511627907,7198784,3.8,7.6
"Haines Borough, AK",2100,0.008337420304070623,128674,7.7,10
"Hoonah-Angoon Census Area, AK",2105,0,136579,5.5,17.2
"Juneau Borough/city, AK",2110,0.04445859872611465,3098486,3.1,9.1
"Kenai Peninsula Borough, AK",2122,0.02271778942000093,3468878,5,11.5
"Ketchikan Gateway Borough, AK",2130,0.04502931271049021,1101967,3.5,9.3
"Kodiak Island Borough, AK",2150,0.02501400037334329,1009981,4.2,8.5
"Matanuska-Susitna Borough, AK",2170,0.036835070836674685,4046188,4.7,9.7
"Nome Census Area, AK",2180,0.06219042377545404,562119,7.7,20.7
"North Slope Borough, AK",2185,0.028416526453542718,8559061,3.2,12
"Northwest Arctic Borough, AK",2188,0.0717458148274684,807211,9,19.1
"Prince of Wales-Hyder Census Area, AK",2198,0.011827956989247311,306336,7.3,15.7
"Sitka Borough/city, AK",2220,0.01927451215132288,677909,3,9.3
"Skagway Municipality, AK",2230,0.005952380952380952,102620,5.2,5.9
"Wrangell Borough/city, AK",2275,0.0058823529411764705,116114,5.1,11.7
"Yukon-Koyukuk Census Area, AK",2290,0,373764,8.4,21.9
"Apache County, AZ",4001,0.02383881882497693,2770542,6.9,29.6
"Cochise County, AZ",4003,0.02055056699468891,6080882,4.4,16.3
"Coconino County, AZ",4005,0.035672876521343266,9967529,4,17.8
"Gila County, AZ",4007,0.04516271454588937,2267153,3.9,17.7
"Graham County, AZ",4009,0.00335518505136014,1742008,3.6,17.3
"Greenlee County, AZ",4011,0,2241143,2.5,9.7
"La Paz County, AZ",4012,0.02647918188458729,860168,6,18.7
"Maricopa County, AZ",4013,0.034246240984735984,383872915,3.2,11.1
"Mohave County, AZ",4015,0.03334317171554554,8845478,4.5,16.8
"Navajo County, AZ",4017,0.015046326848454451,3703029,5.7,24.7
"Pima County, AZ",4019,0.013559516920414768,62169929,3.6,14
"Pinal County, AZ",4021,0.02177751493388247,14256537,3.7,11.8
"Santa Cruz County, AZ",4023,0.024400496416990273,2649761,6.7,20.1
"Yavapai County, AZ",4025,0.021974916514422408,10755479,3.6,12.8
"Yuma County, AZ",4027,0.02181278713629403,10584673,12.2,15.9
"Arkansas County, AR",5001,0.0492042279188434,1429348,2.8,16.8
"Ashley County, AR",5003,0.02434801428416838,1188372,5.3,18.4
"Baxter County, AR",5005,0.023785389311897408,2184391,3.6,16
"Benton County, AR",5007,0.01942145866060976,23669514,2.4,7.8
"Boone County, AR",5009,0.021771056089454566,1870146,2.9,14.9
"Bradley County, AR",5011,0.01603359419736591,438310,4.7,23.2
"Calhoun County, AR",5013,0.02093122597180692,422651,3.2,14.3
"Carroll County, AR",5015,0.01910696457465487,1104325,3,14.8
"Chicot County, AR",5017,0.024473534433693798,366980,4.9,29.7
"Clark County, AR",5019,0.02788728281500949,1040240,4,18.9
"Clay County, AR",5021,0.01709039548022599,481032,3.6,17.5
"Cleburne County, AR",5023,0.040524106547408886,838142,3.5,13.5
"Cleveland County, AR",5025,0.01014077785731329,187423,3.2,15.7
"Columbia County, AR",5027,0.02491248806655453,1307160,3.9,23.3
"Conway County, AR",5029,0.03648088872152137,968175,3.3,17.1
"Craighead County, AR",5031,0.05047570565931751,6970418,2.8,16.1
"Crawford County, AR",5033,0.04828205704019762,2200027,3.3,13.3
"Crittenden County, AR",5035,0.0777147522667698,2304648,4,20.6
"Cross County, AR",5037,0.0373036239594417,634975,3.1,19.1
"Dallas County, AR",5039,0.03305921052631579,324651,3.6,19.6
"Desha County, AR",5041,0.035028040820079064,736101,5,25
"Drew County, AR",5043,0.02496565728961357,794804,3.7,20.6
"Faulkner County, AR",5045,0.03382394892868983,5390228,2.8,12.9
"Franklin County, AR",5047,0.02515831894070236,583098,3.1,19
"Fulton County, AR",5049,0.02310088250562381,241250,4.2,17.5
"Garland County, AR",5051,0.04771545393195983,4606197,3.4,18.9
"Grant County, AR",5053,0.019658306866717774,617839,2.8,11.1
"Greene County, AR",5055,0.056847545219638244,2150238,3.2,16.2
"Hempstead County, AR",5057,0.04160599126274184,1245561,3.4,16.6
"Hot Spring County, AR",5059,0.014114741082718265,1537199,3.4,16.9
"Howard County, AR",5061,0.018925792938360265,752835,3.4,17.8
"Independence County, AR",5063,0.028345452226049242,2525225,3.2,13.5
"Izard County, AR",5065,0.012503703703703704,382043,5.5,20.3
"Jackson County, AR",5067,0.04906865995539213,1069999,4.7,24.6
"Jefferson County, AR",5069,0.07391612243292155,3621967,4.5,24.3
"Johnson County, AR",5071,0.028523425865821527,890441,4,17.1
"Lafayette County, AR",5073,0.012965425531914893,177548,4.5,22.8
"Lawrence County, AR",5075,0.018849840255591055,581474,3.2,18.3
"Lee County, AR",5077,0.020243402819616823,220547,5.2,38.7
"Lincoln County, AR",5079,0.019804119256805416,337185,4.1,26.2
"Little River County, AR",5081,0.023684003462113464,634604,3.4,17.7
"Logan County, AR",5083,0.02855003276233268,590710,3.5,16.6
"Lonoke County, AR",5085,0.032649622159614526,2013251,2.6,9.6
"Madison County, AR",5087,0.01143936028431808,546271,2.5,14.8
"Marion County, AR",5089,0.022418879056047197,776891,4.5,17.4
"Miller County, AR",5091,0.06439047283820251,1719636,3.9,21.5
"Mississippi County, AR",5093,0.04713708099647841,4292553,4.2,24.9
"Monroe County, AR",5095,0.038622884420656735,283074,3.4,26.3
"Montgomery County, AR",5097,0.010060832943378568,191161,4.4,18.8
"Nevada County, AR",5099,0.019889502762430938,291629,4.5,23.2
"Newton County, AR",5101,0.012937162354279216,125598,3.7,18.8
"Ouachita County, AR",5103,0.031208413822708735,846091,3.8,18.8
"Perry County, AR",5105,0.019578760011865915,235863,3.5,14.1
"Phillips County, AR",5107,0.04259178185002189,710274,6.3,34.2
"Pike County, AR",5109,0.01393898040744712,364586,3,18.2
"Poinsett County, AR",5111,0.05038099506947557,905255,3.2,19.1
"Polk County, AR",5113,0.022573015220074044,742315,3.6,18.8
"Pope County, AR",5115,0.026827239966735455,4074569,3.8,13.5
"Prairie County, AR",5117,0.0236368184092046,299845,2.9,15.4
"Pulaski County, AR",5119,0.08277079372004988,39037390,3.1,15.7
"Randolph County, AR",5121,0.029901031796167613,666027,3.4,18.5
"St. Francis County, AR",5123,0.056808462750393876,928123,4.5,34.3
"Saline County, AR",5125,0.026351968848094726,3904704,2.6,9.3
"Scott County, AR",5127,0.026053802160559202,424600,3,19.5
"Searcy County, AR",5129,0.01493099121706399,247400,3.7,20.2
"Sebastian County, AR",5131,0.05842464239477091,8972701,3.2,12.8
"Sevier County, AR",5133,0.01767934643860097,637954,2.7,18.7
"Sharp County, AR",5135,0.00768970353532911,506782,3.6,19.7
"Stone County, AR",5137,0.022891755821271238,345854,4.5,17.7
"Union County, AR",5139,0.04064975164451604,3591931,4.1,19
"Van Buren County, AR",5141,0.02700096432015429,499527,3.9,16.5
"Washington County, AR",5143,0.039026879763437064,16560700,2.5,13.5
"White County, AR",5145,0.03923320400245048,3090101,3.3,15.7
"Woodruff County, AR",5147,0.019542253521126762,385270,3.3,24.4
"Yell County, AR",5149,0.018898173338515352,770473,3,16.5
"Alameda County, CA",6001,0.07636869805354655,178765959,3.8,9.5
"Alpine County, CA",6003,0.02691337258200168,128190,8.1,15.6
"Amador County, CA",6005,0.01763973436635307,2065666,5.1,11.7
"Butte County, CA",6007,0.03650009345480861,11727399,5.2,19.9
"Calaveras County, CA",6009,0.026106960449115698,1854514,5.2,12.2
"Colusa County, CA",6011,0.023645275483343924,2085697,12.4,12.3
"Contra Costa County, CA",6013,0.03366703959406588,97677817,3.9,8.3
"Del Norte County, CA",6015,0.03752783964365256,1048775,6,13.8
"El Dorado County, CA",6017,0.017349613508906545,10968296,4.1,7
"Fresno County, CA",6019,0.03869275032357665,60151259,7.5,17.7
"Glenn County, CA",6021,0.0158080822838442,1357827,6.7,13.5
"Humboldt County, CA",6023,0.03298378291233393,7408007,4.6,16.7
"Imperial County, CA",6025,0.019729308524602984,13483299,17.6,17.3
"Inyo County, CA",6027,0.03612778730703259,1423839,4,11.8
"Kern County, CA",6029,0.04017627608923742,59846810,8.2,19
"Kings County, CA",6031,0.02356988695856572,8873931,8.5,17.5
"Lake County, CA",6033,0.02849131825284402,2469284,6.7,17.6
"Lassen County, CA",6035,0.026198304204879737,1415144,5.6,17.1
"Los Angeles County, CA",6037,0.0404802860928836,961908123,5.1,13.7
"Madera County, CA",6039,0.026268627402842904,8025001,7.1,18
"Marin County, CA",6041,0.019061577816111376,36837335,3.5,8.7
"Mariposa County, CA",6043,0.033212064311700505,986157,5.4,17.3
"Mendocino County, CA",6045,0.010818752504340858,4659813,4.9,13.9
"Merced County, CA",6047,0.03597297626622981,12214481,9,18.6
"Modoc County, CA",6049,0.023137764136465587,734119,6.7,20.1
"Mono County, CA",6051,0.023003640306715204,1503561,3.9,7.8
"Monterey County, CA",6053,0.023420515871821528,36861463,7,14
"Napa County, CA",6055,0.032250646208755326,14227116,3.4,8.9
"Nevada County, CA",6057,0.017605496729990656,5948973,4.1,10.9
"Orange County, CA",6059,0.026394995899710835,333453280,3.5,9.2
"Placer County, CA",6061,0.0180211989346752,33596149,3.6,6.5
"Plumas County, CA",6063,0.023712067748764998,1322900,7,12.7
"Riverside County, CA",6065,0.03153915667544791,126292771,4.8,11.3
"Sacramento County, CA",6067,0.03274560461577463,125634997,4.3,11.9
"San Benito County, CA",6069,0.016858248250625027,2900206,5.7,9.1
"San Bernardino County, CA",6071,0.026372076656683865,130566310,4.6,13.2
"San Diego County, CA",6073,0.025180765242830746,314943175,3.7,10.1
"San Francisco County/city, CA",6075,0.07194007505946252,263108633,3.4,11.9
"San Joaquin County, CA",6077,0.03668224329537644,42836031,6,12.6
"San Luis Obispo County, CA",6079,0.022211318170425622,22753294,3.6,12.8
"San Mateo County, CA",6081,0.026631633251734812,202488060,3.1,7.3
"Santa Barbara County, CA",6083,0.02909887711878735,38512465,4,14.9
"Santa Clara County, CA",6085,0.03202170215020855,419917249,3.5,7.6
"Santa Cruz County, CA",6087,0.02547188494995506,20186709,5.5,12.6
"Shasta County, CA",6089,0.016874213419884744,11047068,4.8,13.2
"Sierra County, CA",6091,0.007063572149344097,121921,5,12.6
"Siskiyou County, CA",6093,0.014995764555049338,2370763,6.6,17.1
"Solano County, CA",6095,0.03675810129206108,37156243,4.4,10.3
"Sonoma County, CA",6097,0.021407952651817788,38453328,3.6,9.1
"Stanislaus County, CA",6099,0.030559878397452136,30597632,6.3,12.6
"Sutter County, CA",6101,0.028849981945614635,5034052,8.1,15.3
"Tehama County, CA",6103,0.03749068058366173,2772973,5.6,15
"Trinity County, CA",6105,0.02121559633027523,515177,5.5,20.8
"Tulare County, CA",6107,0.035826904141687335,24256732,9.8,17.5
"Tuolumne County, CA",6109,0.024879924918569774,3275577,4.9,10.5
"Ventura County, CA",6111,0.02167232598644893,65991334,4.2,9.8
"Yolo County, CA",6113,0.02818807380021581,19424841,4.8,15.3
"Yuba County, CA",6115,0.016761598583592503,4191220,6.2,15.4
"Adams County, CO",8001,0.039441101301335005,41298985,3.4,9.7
"Alamosa County, CO",8003,0.05547916542117535,872777,4,21.7
"Arapahoe County, CO",8005,0.04955155639585555,64323218,3.3,10.1
"Archuleta County, CO",8007,0.011309690030717677,733306,3.6,11.2
"Baca County, CO",8009,0.014352746342809827,273759,2.5,20.2
"Bent County, CO",8011,0.015831819361536464,181224,3.9,28.6
"Boulder County, CO",8013,0.03798601150052679,37662897,3.2,11
"Broomfield County/city, CO",8014,0.027999792401909904,11037437,3.1,5.1
"Chaffee County, CO",8015,0.010174911575173216,1206188,3.1,9.4
"Cheyenne County, CO",8017,0,411416,2.4,13.3
"Clear Creek County, CO",8019,0.017967914438502673,703029,3.1,7.7
"Conejos County, CO",8021,0.004077669902912621,256015,3.7,18.1
"Costilla County, CO",8023,0,106334,6,22.6
"Crowley County, CO",8025,0.010457125784284434,150193,3.5,37.5
"Custer County, CO",8027,0.015029088558500324,212229,3.5,11.8
"Delta County, CO",8029,0.021077356717820232,1149771,4.5,12.9
"Denver County/city, CO",8031,0.07824807433637265,118568808,3.4,10.5
"Dolores County, CO",8033,0.01808543810414718,115026,3.5,13.5
"Douglas County, CO",8035,0.020519994414894317,29016749,2.9,3.7
"Eagle County, CO",8037,0.019661569997280845,6442082,2.8,6.6
"Elbert County, CO",8039,0.002176278563656148,943947,2.8,5.8
"El Paso County, CO",8041,0.03984871885624806,51748130,3.4,7.3
"Fremont County, CO",8043,0.029895754283660182,1962984,4.9,18.4
"Garfield County, CO",8045,0.02242489099011324,4995438,3,9.1
"Gilpin County, CO",8047,0.05377625502755847,934979,2.9,7.2
"Grand County, CO",8049,0.013945452301616685,1427137,2.9,8.2
"Gunnison County, CO",8051,0.01764133111862077,1600626,2.9,10.7
"Hinsdale County, CO",8053,0.01038961038961039,57026,3.2,5.3
"Huerfano County, CO",8055,0,333096,6.3,18.3
"Jackson County, CO",8057,0.0031545741324921135,152904,2.8,13.3
"Jefferson County, CO",8059,0.04007264631788623,44459565,3.1,7.4
"Kiowa County, CO",8061,0.007285089849441476,136364,2.5,13.6
"Kit Carson County, CO",8063,0.017086662569145667,725015,2.3,12.3
"Lake County, CO",8065,0.02041095890410959,447741,2.8,11.4
"La Plata County, CO",8067,0.004110763202546924,4098961,3.3,11.5
"Larimer County, CO",8069,0.027759425278051253,26974178,3.1,10.2
