year,crime,GDP
1965,2449,3.81829
1966,2670.8,4.136310000000001
1967,2989.7,4.32596
1968,3370.2,4.68459
1969,3680,5.02
1970,3984.5,5.2343
1971,4164.7,5.60938
1972,3961.4,6.09402
1973,4154.4,6.72636
1974,4850.4,7.225689999999999
1975,5298.5,7.80146
1976,5287.3,8.59225
1977,5077.6,9.45258
1978,5140.4,10.564950000000001
1979,5565.5,11.67418
1980,5950,12.57479
1981,5858.2,13.97611
1982,5603.7,14.43379
1983,5175,15.54389
1984,5031.3,17.12123
1985,5207.1,18.23683
1986,5480.4,19.07123
1987,5550,20.03894
1988,5664.2,21.417009999999998
1989,5741,22.85715
1990,5820.3,23.8886
1991,5897.8,24.34226
1992,5660.2,25.41899
1993,5484.4,26.38729
1994,5373.5,27.69485
1995,5274.9,28.69088
1996,5087.6,29.96771
1997,4927.3,31.459130000000002
1998,4615.5,32.85367
1999,4266.5,34.51538
2000,4124.8,36.32997
2001,4162.6,37.13362
2002,4125,37.99774
2003,4067,39.490300000000005
2004,3977.3,41.72464
2005,3900.5,44.123400000000004
2006,3808.1,46.301989999999996
2007,3730.4,48.050230000000006
2008,3669,48.57006
2009,3465.5,47.19495
2010,3350.4,48.65066
2011,3292.5,50.06598
2012,3255.8,51.78441
2013,3112.4,53.40975
2014,2946.1,55.30432
2015,2885.1,57.04021
2016,2849.1,58.20661
2017,2757.8,60.32226
2018,2593.2,63.20105
2019,2489.3,65.60467999999999
