"grade0","grade1"
53,73
55,75
65,85
67,87
63,73
68,78
50,70
71,71
63,73
41,41
61,81
50,60
77,77
78,83
69,89
49,69
56,76
71,71
79,84
78,98
77,87
69,74
40,50
51,71
59,64
47,67
51,71
42,62
48,58
53,63
52,57
59,64
55,60
55,65
71,91
73,83
80,100
71,71
64,74
75,95
79,99
50,60
77,82
48,58
44,54
54,64
58,78
56,56
56,66
76,76
42,52
58,68
52,62
70,80
42,42
49,49
66,66
73,93
74,74
61,81
62,82
70,80
65,70
46,66
54,54
76,81
62,62
51,71
65,75
63,63
74,84
44,49
43,53
50,70
42,62
49,69
54,59
46,56
65,85
43,63
67,77
43,53
71,76
57,57
40,45
67,77
48,48
61,61
56,66
42,52
57,67
44,64
49,59
46,56
70,70
49,49
59,64
51,61
73,83
43,63
74,94
45,50
62,72
43,53
69,69
70,80
74,94
79,99
68,73
64,74
64,69
67,67
51,61
67,87
75,85
47,67
53,73
57,77
59,64
60,70
60,70
52,57
50,55
46,66
63,83
76,86
80,80
47,47
59,64
76,76
50,70
60,65
48,58
75,80
49,69
46,46
52,72
73,78
57,62
40,50
80,100
76,86
57,57
68,78
44,64
52,52
54,74
54,54
72,82
65,65
44,64
53,63
50,55
42,42
70,70
47,57
61,61
41,46
40,45
61,71
49,59
77,97
52,57
63,63
78,98
62,82
54,64
49,49
57,77
69,89
56,56
43,63
79,99
73,83
75,75
42,62
42,42
79,99
70,90
48,58
51,61
70,70
79,99
47,67
63,83
48,48
71,81
54,54
79,89
41,61
59,64
70,80
44,64
65,70
76,76
62,82
71,81
59,59
67,67
55,60
70,80
41,41
58,68
47,57
57,62
76,76
41,61
60,80
75,80
43,53
59,79
79,79
45,45
66,71
40,40
53,53
46,56
67,77
75,95
56,66
72,92
70,75
60,60
42,62
46,56
54,59
53,63
60,70
46,56
48,53
40,50
79,79
57,62
69,89
64,64
76,86
50,50
60,80
61,71
54,54
45,50
74,79
58,78
63,63
63,63
73,83
46,46
79,79
52,52
51,71
64,84
55,75
78,88
61,81
73,78
72,92
49,59
48,58
76,81
71,71
44,54
61,81
47,52
47,67
43,53
78,98
41,46
76,86
49,49
64,64
67,72
41,41
58,58
58,68
72,77
76,76
49,49
55,65
63,83
49,59
53,73
65,65
80,90
78,98
68,68
67,72
74,84
61,71
70,90
48,53
48,58
62,67
59,69
74,84
49,54
45,65
80,80
71,91
57,67
72,92
62,67
72,92
49,69
57,67
47,52
62,72
47,67
74,79
46,56
40,60
78,98
49,69
41,51
48,58
66,76
40,60
59,69
79,79
40,50
72,82
51,51
73,93
57,77
66,86
65,75
44,64
80,100
66,76
78,78
48,53
43,43
80,90
47,52
64,84
47,57
77,97
75,80
51,71
64,84
80,80
74,74
42,42
76,76
76,81
55,55
80,100
52,72
73,73
51,71
64,84
58,58
55,55
44,54
46,46
74,74
71,71
58,78
76,96
42,52
60,70
76,86
48,53
49,69
62,72
53,73
64,74
76,86
60,60
46,66
42,52
54,64
75,75
71,91
66,66
59,69
77,77
73,83
68,68
73,73
40,40
47,67
46,51
61,71
73,83
74,94
48,48
55,75
49,49
61,81
46,66
62,72
40,45
80,85
49,54
43,48
74,79
61,81
79,84
44,44
64,64
42,42
40,60
78,98
52,52
44,64
72,82
47,52
78,78
48,68
69,89
59,69
60,60
71,71
40,50
78,98
51,71
65,85
65,85
67,77
56,61
62,62
48,58
64,74
65,75
47,67
51,51
43,63
78,83
72,82
73,78
63,73
59,79
45,65
77,87
67,72
49,59
76,96
70,80
51,51
47,57
78,98
51,51
72,77
74,84
78,88
69,79
80,85
73,83
64,74
40,45
70,80
80,85
45,65
57,77
69,89
41,51
46,56
50,60
55,60
47,57
53,63
61,71
42,42
66,71
79,99
79,99
79,89
47,52
74,74
67,67
44,54
61,71
74,84
57,57
59,59
40,50
44,44
54,54
58,68
51,56
50,60
58,68
46,66
40,40
61,71
55,75
59,59
64,84
77,82
44,49
75,75
72,92
54,74
62,62
55,75
62,72
56,66
44,49
55,65
60,65
64,84
67,87
51,51
52,62
50,70
76,96
57,62
58,63
67,72
72,72
67,72
43,63
54,59
60,70
42,52
57,67
74,84
65,85
68,88
72,77
58,68
65,75
46,51
67,87
72,72
69,79
79,99
80,100
53,63
80,100
47,67
80,80
61,71
41,46
80,100
61,66
65,70
40,50
78,88
64,84
64,64
74,94
46,66
68,78
55,60
58,78
45,55
80,85
55,65
75,95
42,62
58,58
51,56
44,49
74,79
41,41
51,51
78,98
57,77
63,83
44,49
70,80
55,60
60,70
54,54
74,94
66,76
64,84
60,70
63,63
52,62
55,65
47,67
46,66
65,75
69,69
72,77
49,54
63,83
43,53
43,63
80,80
63,83
59,69
61,61
58,68
76,81
42,47
58,68
45,55
65,75
75,75
68,68
47,67
76,81
71,81
45,65
51,61
58,68
77,97
45,55
44,54
76,76
42,42
43,63
70,70
70,75
60,70
62,82
46,51
43,43
47,57
69,69
58,68
43,63
41,61
40,45
58,78
46,56
46,46
46,46
70,90
71,76
48,68
75,80
73,83
44,64
64,69
73,78
51,71
54,74
46,66
69,79
57,62
52,72
48,53
47,57
74,84
62,82
71,91
78,88
72,72
71,91
65,65
68,73
43,63
64,84
67,72
41,46
49,69
49,69
62,72
50,60
75,80
63,73
43,63
79,99
79,99
73,78
51,56
59,69
45,45
75,85
69,69
40,60
61,66
45,65
52,62
64,69
63,63
64,69
67,67
43,48
62,82
74,79
40,60
73,93
57,77
54,64
67,72
65,70
61,71
73,83
50,60
43,48
45,65
71,91
75,95
50,55
76,86
40,50
45,45
45,65
50,60
74,84
68,88
56,66
54,64
74,74
69,89
44,54
61,61
42,42
68,68
52,52
69,89
55,60
51,71
56,61
43,43
61,66
64,74
57,67
58,63
51,61
57,57
79,79
65,65
56,76
62,62
52,72
44,49
73,93
65,65
59,79
67,67
80,90
77,87
74,84
77,97
46,46
73,83
69,89
44,44
60,80
66,71
40,40
55,60
79,89
74,84
70,90
51,71
74,94
44,49
50,70
43,63
61,66
55,75
49,69
46,46
43,53
80,85
40,50
80,90
74,94
71,76
73,73
65,70
44,49
56,66
53,73
51,56
64,74
66,66
55,75
69,89
78,88
67,87
48,53
65,70
66,86
49,54
79,89
53,63
79,99
74,84
44,44
67,72
45,50
59,69
42,47
67,87
60,65
57,57
65,65
60,70
76,96
77,77
61,66
60,70
69,74
48,58
47,57
55,65
44,64
72,72
74,94
68,73
46,66
63,63
68,88
59,79
77,87
73,78
48,58
60,65
58,68
48,58
60,70
75,95
55,75
65,85
44,54
71,81
41,51
42,52
58,78
73,83
68,88
44,54
55,75
79,99
69,74
77,87
48,68
63,83
45,50
49,69
65,85
51,56
71,81
51,61
75,85
46,56
48,58
65,70
42,52
64,69
56,61
79,79
59,59
63,83
50,55
77,87
45,55
62,62
46,51
45,55
69,79
64,64
71,81
62,82
58,58
65,70
68,88
60,70
77,77
76,86
66,76
44,44
66,76
68,88
58,78
72,82
79,84
50,70
46,56
45,65
70,75
77,97
45,50
47,67
76,81
75,85
79,84
68,88
75,75
41,61
77,77
74,84
77,82
55,75
58,63
76,96
59,69
52,72
55,55
56,66
62,62
62,72
53,63
59,69
66,76
49,69
46,51
54,64
56,76
53,58
41,51
55,60
58,58
70,80
75,85
80,80
79,99
69,89
64,74
61,61
60,70
64,69
61,61
40,50
60,80
80,100
67,87
42,52
61,61
42,52
76,86
46,66
72,77
80,85
45,65
57,67
68,68
65,75
76,86
58,63
71,71
42,52
42,47
47,67
77,82
77,82
63,83
64,84
76,76
74,84
78,88
79,79
65,65
43,48
43,48
47,57
48,53
57,77
61,81
51,51
57,62
49,54
73,73
66,71
72,82
62,67
78,88
59,64
41,46
68,68
60,80
57,62
71,76
68,68
74,94
42,47
76,96
80,90
70,90
40,40
40,60
58,78
59,79
58,78
54,59
51,61
77,82
57,57
79,84
59,64
58,78
76,76
63,73
68,88
66,86
42,62
48,58
70,75
60,80
42,42
67,67
56,56
68,88
71,91
63,63
74,94
64,84
43,63
72,92
73,78
65,75
75,95
