date,retailsale,holiday,inflator,ur
1992-01-01,130683,0,2.1618944323933476,7.3
1992-02-01,131244,0,2.1572150072150076,7.4
1992-03-01,142488,0,2.1494608195542777,7.4
1992-04-01,147175,0,2.1448350071736013,7.4
1992-05-01,152420,0,2.1402290622763065,7.6
1992-06-01,151849,0,2.1341184867951464,7.8
1992-07-01,152586,0,2.1280427046263344,7.7
1992-08-01,152476,0,2.1235085227272728,7.6
1992-09-01,148158,0,2.1189936215450036,7.6
1992-10-01,155987,0,2.1100211714890618,7.3
1992-11-01,154824,1,2.1040816326530614,7.4
1992-12-01,191347,1,2.1011243851018975,7.4
1993-01-01,137020,0,2.0937675070028012,7.3
1993-02-01,134462,0,2.0893780573025857,7.1
1993-03-01,153025,0,2.0864619678995115,7
1993-04-01,158615,0,2.0792072322670374,7.1
1993-05-01,163519,0,2.0734396671289876,7.1
1993-06-01,162964,0,2.072002772002772,7
1993-07-01,164590,0,2.069134948096886,6.9
1993-08-01,163989,0,2.0648480662983424,6.8
1993-09-01,159298,0,2.0620000000000003,6.7
1993-10-01,163992,0,2.053502747252747,6.8
1993-11-01,169980,1,2.047876712328767,6.6
1993-12-01,206174,1,2.0436773752563226,6.5
1994-01-01,145276,0,2.0436773752563226,6.6
1994-02-01,146332,0,2.038104976141786,6.6
1994-03-01,173562,0,2.0325628823929303,6.5
1994-04-01,170795,0,2.0311820652173913,6.4
1994-05-01,175527,0,2.027050847457627,6.1
1994-06-01,178509,0,2.0215686274509803,6.1
1994-07-01,173198,0,2.014757412398922,6.1
1994-08-01,182445,0,2.0066442953020136,6
1994-09-01,175128,0,2.0026121902210314,5.9
1994-10-01,178642,0,2.0012717536813924,5.8
1994-11-01,184272,1,1.995927903871829,5.6
1994-12-01,221549,1,1.9919387075283146,5.5
1995-01-01,158004,0,1.9866445182724253,5.6
1995-02-01,155156,0,1.981378396288933,5.4
1995-03-01,181910,0,1.9774470899470902,5.4
1995-04-01,176635,0,1.969631093544137,5.8
1995-05-01,190269,0,1.9657462195923736,5.6
1995-06-01,191609,0,1.9618766404199475,5.6
1995-07-01,182909,0,1.9593053735255572,5.7
1995-08-01,193370,0,1.955461085676913,5.7
1995-09-01,182521,0,1.952906596995428,5.6
1995-10-01,184276,0,1.9478175895765473,5.5
1995-11-01,193405,1,1.9452830188679247,5.6
1995-12-01,227552,1,1.9427550357374919,5.6
1996-01-01,167372,0,1.9327084680025859,5.6
