"date","consump","nasdaq","gdp","ur"
1971-04-01,693.2,109.215238,5100.447,5.9
1971-07-01,705.6,108.416563,5142.422,6
1971-10-01,721.7,107.3075,5154.547,5.9
1972-01-01,739,122.329524,5249.337,5.8
1972-04-01,757.4,131.074219,5368.485,5.7
1972-07-01,775.8,129.421587,5419.184,5.6
1972-10-01,800.5,131.329672,5509.926,5.4
1973-01-01,825,125.812419,5646.286,4.9
1973-04-01,840.5,106.920159,5707.755,4.9
1973-07-01,858.9,105.469524,5677.738,4.8
1973-10-01,873.9,101.9875,5731.632,4.8
1974-01-01,891.9,93.850645,5682.353,5.1
1974-04-01,920.4,84.700635,5695.859,5.2
1974-07-01,949.3,66.112813,5642.025,5.6
1974-10-01,959.1,61.16375,5620.126,6.6
1975-01-01,985.2,70.307869,5551.713,8.3
1975-04-01,1013.6,81.089375,5591.382,8.9
1975-07-01,1047.2,80.068906,5687.087,8.5
1975-10-01,1076.3,77.026406,5763.665,8.3
1976-01-01,1109.9,87.67,5893.276,7.7
1976-04-01,1129.5,89.391429,5936.515,7.6
1976-07-01,1158.8,91.235625,5969.089,7.7
1976-10-01,1192.4,91.274127,6012.356,7.8
1977-01-01,1228.2,96.21746,6083.391,7.5
1977-04-01,1256,96.650317,6201.659,7.1
1977-07-01,1286.9,100.75619,6313.559,6.9
1977-10-01,1324.8,101.216508,6313.697,6.7
1978-01-01,1354,102.436452,6333.848,6.3
1978-04-01,1411.4,117.489531,6578.605,6
1978-07-01,1442.2,130.087143,6644.754,6
1978-10-01,1481.3,119.848413,6734.069,5.9
1979-01-01,1517.1,125.492063,6746.176,5.9
1979-04-01,1557.6,133.444603,6753.389,5.7
1979-07-01,1611.9,144.743333,6803.558,5.9
1979-10-01,1655.1,142.52375,6820.572,6
1980-01-01,1702.3,152.525238,6842.024,6.3
1980-04-01,1704.7,145.800159,6701.046,7.3
1980-07-01,1763.8,177.873125,6693.082,7.7
1980-10-01,1831.9,198.087937,6817.903,7.4
1981-01-01,1885.7,199.296935,6951.495,7.4
1981-04-01,1917.6,217.290159,6899.98,7.4
