price,lotsize,bedrooms,bathrooms,stories,driveway,recreation,fullbase,gasheat,aircon,garage,prefer
42000,5.85,3,1,2,1,0,1,0,0,1,1
38500,4,2,1,1,1,0,0,0,0,0,1
49500,3.06,3,1,1,1,0,0,0,0,0,1
60500,6.65,3,1,2,1,1,0,0,0,0,1
61000,6.36,2,1,1,1,0,0,0,0,0,1
66000,4.16,3,1,1,1,1,1,0,1,0,1
66000,3.88,3,2,2,1,0,1,0,0,2,1
69000,4.16,3,1,3,1,0,0,0,0,0,1
83800,4.8,3,1,1,1,1,1,0,0,0,1
88500,5.5,3,2,4,1,1,0,0,1,1,1
90000,7.2,3,2,1,1,0,1,0,1,3,1
30500,3,2,1,1,0,0,0,0,0,0,1
27000,1.7,3,1,2,1,0,0,0,0,0,1
36000,2.88,3,1,1,0,0,0,0,0,0,1
37000,3.6,2,1,1,1,0,0,0,0,0,1
37900,3.185,2,1,1,1,0,0,0,1,0,1
40500,3.3,3,1,2,0,0,0,0,0,1,1
40750,5.2,4,1,3,1,0,0,0,0,0,1
45000,3.45,1,1,1,1,0,0,0,0,0,1
45000,3.986,2,2,1,0,1,1,0,0,1,1
48500,4.785,3,1,2,1,1,1,0,1,1,1
65900,4.51,4,2,2,1,0,1,0,0,0,1
37900,4,3,1,2,1,0,0,0,1,0,1
38000,3.934,2,1,1,1,0,0,0,0,0,1
42000,4.96,2,1,1,1,0,0,0,0,0,1
42300,3,2,1,2,1,0,0,0,0,0,1
43500,3.8,2,1,1,1,0,0,0,0,0,1
44000,4.96,2,1,1,1,0,1,0,1,0,1
44500,3,3,1,1,0,0,0,0,1,0,1
44900,4.5,3,1,2,1,0,0,0,1,0,1
45000,3.5,2,1,1,0,0,1,0,0,0,1
48000,3.5,4,1,2,1,0,0,0,1,2,1
49000,4,2,1,1,1,0,0,0,0,0,1
51500,4.5,2,1,1,1,0,0,0,0,0,1
61000,6.36,2,1,2,1,0,0,0,0,0,1
61000,4.5,2,1,1,1,0,0,0,1,2,1
61700,4.032,2,1,1,1,0,1,0,0,0,1
67000,5.17,3,1,4,1,0,0,0,1,0,1
82000,5.4,4,2,2,1,0,0,0,1,2,1
54500,3.15,2,2,1,0,0,1,0,0,0,1
66500,3.745,3,1,2,1,0,1,0,0,0,1
70000,4.52,3,1,2,1,0,1,0,1,0,1
82000,4.64,4,1,2,1,0,0,0,0,1,1
92000,8.58,5,3,2,1,0,0,0,0,2,1
38000,2,2,1,2,1,0,0,0,0,0,1
44000,2.16,3,1,2,0,0,1,0,0,0,1
41000,3.04,2,1,1,0,0,0,0,0,0,1
43000,3.09,3,1,2,0,0,0,0,0,0,1
48000,4.96,4,1,3,0,0,0,0,0,0,1
54800,3.35,3,1,2,1,0,0,0,0,0,1
55000,5.3,5,2,2,1,0,0,0,0,0,1
57000,4.1,4,1,1,0,0,1,0,0,0,1
68000,9.166,2,1,1,1,0,1,0,1,2,1
95000,4.04,3,1,2,1,0,1,1,0,1,1
38000,3.63,3,3,2,0,1,0,0,0,0,1
25000,3.62,2,1,1,1,0,0,0,0,0,1
25245,2.4,3,1,1,0,0,0,0,0,0,1
56000,7.26,3,2,1,1,1,1,0,0,3,1
35500,4.4,3,1,2,1,0,0,0,0,0,1
30000,2.4,3,1,2,1,0,0,0,0,0,1
48000,4.12,2,1,2,1,0,0,0,0,0,1
48000,4.75,2,1,1,1,0,0,0,0,0,1
52000,4.28,2,1,1,1,0,0,0,1,2,1
54000,4.82,3,1,2,1,0,0,0,0,0,1
56000,5.5,4,1,2,1,1,1,0,0,0,1
60000,5.5,3,1,2,1,0,0,0,1,0,1
60000,5.04,3,1,2,1,0,1,0,1,0,1
67000,6,2,1,1,1,0,1,0,1,1,1
47000,2.5,2,1,1,0,0,0,0,1,0,1
70000,4.095,3,1,2,0,1,1,0,1,0,1
45000,4.095,2,1,1,1,0,0,0,0,2,1
51000,3.15,3,1,2,1,0,1,0,0,0,1
32500,1.836,2,1,1,0,0,1,0,0,0,1
34000,2.475,3,1,2,1,0,0,0,0,0,1
35000,3.21,3,1,2,1,0,1,0,0,0,1
36000,3.18,3,1,1,0,0,0,0,0,0,1
45000,1.65,3,1,2,0,0,1,0,0,0,1
47000,3.18,4,1,2,1,0,1,0,1,0,1
55000,3.18,2,2,1,1,0,1,0,0,2,1
63900,6.36,2,1,1,1,0,1,0,1,1,1
50000,4.24,3,1,2,1,0,0,0,1,0,1
35000,3.24,2,1,1,0,1,0,0,0,1,1
50000,3.65,3,1,2,1,0,0,0,0,0,1
43000,3.24,3,1,2,1,0,0,0,0,2,1
55500,3.78,2,1,2,1,1,1,0,0,0,1
57000,6.48,3,1,2,0,0,0,0,1,1,1
60000,5.85,2,1,1,1,1,1,0,0,2,1
78000,3.15,3,2,1,1,1,1,0,1,0,1
35000,3,2,1,1,1,0,0,0,0,1,1
44000,3.09,2,1,1,1,1,1,0,0,0,1
47000,6.06,3,1,1,1,1,1,0,0,0,1
58000,5.9,4,2,2,0,0,1,0,0,1,1
163000,7.42,4,1,2,1,1,1,0,1,2,1
128000,8.5,3,2,4,1,0,0,0,1,2,1
123500,8.05,3,1,1,1,1,1,0,1,1,1
39000,6.8,2,1,1,1,0,0,0,0,0,1
53900,8.25,3,1,1,1,0,0,0,0,2,1
59900,8.25,3,1,1,1,0,1,0,0,3,1
35000,3.5,2,1,1,1,1,0,0,0,0,1
43000,2.835,2,1,1,1,0,0,0,0,0,1
57000,4.5,3,2,2,0,0,1,0,1,0,1
79000,3.3,3,3,2,1,0,1,0,0,0,1
125000,4.32,3,1,2,1,0,1,1,0,2,1
132000,3.5,4,2,2,1,0,0,1,0,2,1
58000,4.992,3,2,2,1,0,0,0,0,2,1
43000,4.6,2,1,1,1,0,0,0,0,0,1
48000,3.72,2,1,1,0,0,0,0,1,0,1
58500,3.68,3,2,2,1,0,0,0,0,0,1
73000,3,3,2,2,1,1,1,0,0,0,1
63500,3.75,2,1,1,1,1,1,0,0,0,1
43000,5.076,3,1,1,0,0,0,0,0,0,1
46500,4.5,2,1,1,0,0,0,0,0,0,1
92000,5,3,1,2,1,0,0,0,1,0,1
75000,4.26,4,1,2,1,0,1,0,1,0,1
75000,6.54,4,2,2,0,0,0,0,1,0,1
85000,3.7,4,1,2,1,1,0,0,1,0,1
93000,3.76,3,1,2,1,0,0,1,0,2,1
94500,4,3,2,2,1,0,1,0,1,1,1
106500,4.3,3,2,2,1,0,1,0,0,1,1
116000,6.84,5,1,2,1,1,1,0,1,1,1
61500,4.4,2,1,1,1,0,0,0,0,1,1
80000,10.5,4,2,2,1,0,0,0,0,1,1
